i,label_idx
0,9
1,8
2,9
3,1
4,0
5,1
6,2
7,4
8,7
9,3
10,3
11,6
12,7
13,2
14,8
15,5
16,1
17,9
18,8
19,1
20,8
21,6
22,2
23,9
24,9
25,2
26,4
27,3
28,7
29,5
30,7
31,7
32,0
33,4
34,0
35,6
36,2
37,8
38,9
39,4
40,7
41,7
42,5
43,4
44,6
45,6
46,0
47,9
48,6
49,1
50,7
51,0
52,1
53,0
54,8
55,5
56,2
57,7
58,6
59,9
60,0
61,7
62,7
63,4
64,7
65,0
66,6
67,9
68,0
69,0
70,0
71,4
72,2
73,2
74,3
75,8
76,7
77,1
78,8
79,9
80,9
81,9
82,9
83,7
84,3
85,4
86,8
87,4
88,3
89,7
90,9
91,7
92,5
93,4
94,3
95,5
96,2
97,7
98,5
99,4
100,7
101,2
102,3
103,9
104,7
105,5
106,4
107,3
108,2
109,3
110,7
111,3
112,0
113,5
114,5
115,9
116,5
117,8
118,9
119,9
120,4
121,1
122,6
123,5
124,6
125,6
126,2
127,5
128,0
129,6
130,0
131,4
132,5
133,2
134,5
135,7
136,1
137,2
138,5
139,1
140,3
141,4
142,4
143,7
144,5
145,4
146,3
147,3
148,9
149,8
150,5
151,2
152,8
153,9
154,1
155,8
156,1
157,9
158,5
159,6
160,9
161,8
162,7
163,5
164,3
165,2
166,5
167,5
168,0
169,6
170,7
171,7
172,5
173,7
174,3
175,8
176,6
177,8
178,4
179,4
180,4
181,7
182,4
183,8
184,0
185,7
186,4
187,9
188,2
189,3
190,1
191,1
192,6
193,5
194,1
195,7
196,4
197,6
198,8
199,6
200,6
201,5
202,2
203,9
204,1
205,0
206,9
207,2
208,3
209,0
210,7
211,4
212,2
213,6
214,0
215,8
216,7
217,2
218,8
219,0
220,0
221,5
222,2
223,3
224,9
225,4
226,3
227,2
228,0
229,2
230,4
231,6
232,3
233,3
234,2
235,2
236,1
237,4
238,1
239,9
240,8
241,2
242,8
243,9
244,7
245,4
246,0
247,3
248,5
249,4
250,9
251,1
252,9
253,8
254,3
255,3
256,1
257,5
258,7
259,8
260,7
261,0
262,7
263,6
264,3
265,6
266,2
267,7
268,0
269,6
270,9
271,0
272,9
273,2
274,3
275,5
276,2
277,7
278,9
279,8
280,3
281,7
282,6
283,8
284,2
285,5
286,2
287,0
288,1
289,0
290,0
291,6
292,4
293,0
294,7
295,2
296,5
297,6
298,4
299,2
300,8
301,2
302,1
303,3
304,0
305,8
306,8
307,9
308,4
309,1
310,7
311,9
312,7
313,2
314,8
315,6
316,1
317,2
318,3
319,9
320,3
321,0
322,3
323,9
324,9
325,3
326,4
327,6
328,4
329,0
330,0
331,3
332,8
333,2
334,0
335,6
336,8
337,5
338,4
339,7
340,1
341,3
342,4
343,0
344,5
345,1
346,2
347,8
348,6
349,1
350,9
351,7
352,8
353,9
354,8
355,0
356,1
357,2
358,5
359,9
360,3
361,0
362,3
363,5
364,9
365,8
366,7
367,2
368,0
369,7
370,2
371,4
372,1
373,6
374,8
375,8
376,0
377,8
378,8
379,6
380,2
381,1
382,3
383,3
384,8
385,0
386,0
387,9
388,1
389,9
390,3
391,8
392,5
393,7
394,3
395,1
396,6
397,3
398,6
399,1
400,0
401,7
402,0
403,9
404,9
405,1
406,7
407,8
408,5
409,6
410,2
411,6
412,1
413,7
414,6
415,9
416,6
417,0
418,1
419,6
420,4
421,1
422,7
423,6
424,2
425,3
426,8
427,6
428,7
429,2
430,3
431,6
432,8
433,1
434,6
435,3
436,5
437,6
438,1
439,1
440,1
441,0
442,5
443,6
444,2
445,1
446,2
447,7
448,1
449,9
450,8
451,2
452,8
453,0
454,4
455,5
456,9
457,6
458,4
459,1
460,6
461,5
462,8
463,5
464,6
465,1
466,5
467,1
468,0
469,3
470,9
471,5
472,8
473,4
474,2
475,0
476,4
477,7
478,5
479,6
480,5
481,9
482,6
483,8
484,5
485,0
486,3
487,8
488,3
489,1
490,4
491,0
492,7
493,5
494,7
495,1
496,8
497,7
498,4
499,5
500,9
501,7
502,5
503,4
504,7
505,4
506,2
507,1
508,6
509,1
510,0
511,4
512,7
513,9
514,3
515,2
516,4
517,3
518,7
519,8
520,5
521,0
522,2
523,9
524,2
525,0
526,3
527,2
528,5
529,7
530,1
531,7
532,5
533,4
534,1
535,7
536,4
537,9
538,7
539,8
540,5
541,0
542,4
543,4
544,0
545,6
546,9
547,2
548,3
549,1
550,2
551,8
552,2
553,6
554,8
555,6
556,8
557,3
558,2
559,5
560,8
561,1
562,3
563,2
564,1
565,9
566,1
567,0
568,5
569,6
570,1
571,7
572,5
573,8
574,8
575,9
576,3
577,8
578,3
579,4
580,2
581,4
582,7
583,8
584,3
585,1
586,2
587,0
588,8
589,1
590,5
591,3
592,5
593,3
594,8
595,1
596,1
597,8
598,7
599,4
600,9
601,8
602,1
603,7
604,8
605,7
606,4
607,0
608,7
609,1
610,1
611,1
612,9
613,8
614,0
615,8
616,6
617,2
618,8
619,4
620,4
621,4
622,0
623,4
624,4
625,3
626,4
627,3
628,8
629,0
630,3
631,1
632,0
633,9
634,8
635,7
636,1
637,8
638,0
639,2
640,3
641,2
642,2
643,9
644,3
645,7
646,6
647,4
648,8
649,6
650,9
651,7
652,3
653,2
654,8
655,6
656,1
657,1
658,9
659,4
660,0
661,5
662,5
663,2
664,3
665,4
666,2
667,3
668,1
669,5
670,4
671,8
672,8
673,9
674,2
675,8
676,0
677,4
678,5
679,0
680,1
681,6
682,3
683,8
684,0
685,2
686,1
687,6
688,3
689,5
690,5
691,5
692,7
693,3
694,8
695,5
696,8
697,4
698,2
699,5
700,2
701,5
702,6
703,5
704,0
705,0
706,9
707,4
708,7
709,8
710,5
711,2
712,6
713,1
714,6
715,4
716,9
717,3
718,3
719,6
720,7
721,8
722,1
723,4
724,1
725,5
726,0
727,3
728,2
729,2
730,7
731,5
732,5
733,8
734,8
735,4
736,6
737,5
738,9
739,9
740,8
741,2
742,5
743,3
744,0
745,5
746,9
747,8
748,8
749,6
750,1
751,6
752,1
753,7
754,1
755,6
756,2
757,4
758,0
759,0
760,3
761,6
762,0
763,7
764,4
765,9
766,9
767,5
768,3
769,8
770,1
771,4
772,3
773,7
774,6
775,3
776,4
777,0
778,4
779,4
780,6
781,7
782,8
783,3
784,9
785,8
786,9
787,6
788,5
789,0
790,0
791,2
792,2
793,5
794,2
795,6
796,9
797,5
798,7
799,8
800,8
801,1
802,7
803,2
804,1
805,2
806,1
807,0
808,3
809,4
810,2
811,5
812,3
813,0
814,7
815,0
816,2
817,4
818,2
819,1
820,5
821,4
822,7
823,1
824,5
825,0
826,0
827,4
828,0
829,8
830,9
831,8
832,1
833,4
834,2
835,2
836,9
837,3
838,6
839,9
840,4
841,0
842,6
843,0
844,7
845,5
846,8
847,1
848,3
849,3
850,6
851,0
852,3
853,0
854,0
855,9
856,8
857,0
858,3
859,2
860,5
861,8
862,8
863,7
864,6
865,4
866,6
867,0
868,7
869,7
870,4
871,1
872,2
873,3
874,2
875,3
876,3
877,3
878,4
879,0
880,6
881,3
882,6
883,3
884,2
885,9
886,2
887,4
888,4
889,7
890,5
891,6
892,4
893,9
894,2
895,5
896,0
897,0
898,6
899,3
900,5
901,3
902,6
903,9
904,5
905,3
906,4
907,9
908,2
909,1
910,3
911,4
912,1
913,7
914,7
915,3
916,6
917,5
918,6
919,6
920,4
921,7
922,7
923,8
924,6
925,6
926,9
927,8
928,7
929,3
930,5
931,1
932,8
933,8
934,6
935,9
936,1
937,5
938,5
939,1
940,3
941,7
942,1
943,4
944,5
945,0
946,5
947,2
948,0
949,8
950,8
951,2
952,4
953,4
954,8
955,1
956,0
957,0
958,7
959,9
960,5
961,6
962,8
963,5
964,8
965,6
966,6
967,8
968,0
969,8
970,0
971,7
972,2
973,9
974,9
975,8
976,2
977,4
978,6
979,6
980,3
981,3
982,5
983,6
984,8
985,0
986,2
987,3
988,0
989,0
990,9
991,4
992,7
993,7
994,8
995,1
996,4
997,4
998,1
999,8
1000,1
1001,1
1002,1
1003,0
1004,2
1005,7
1006,9
1007,1
1008,8
1009,3
1010,8
1011,2
1012,7
1013,6
1014,2
1015,8
1016,8
1017,9
1018,4
1019,9
1020,7
1021,9
1022,9
1023,4
1024,3
1025,6
1026,9
1027,8
1028,2
1029,2
1030,0
1031,2
1032,3
1033,5
1034,4
1035,1
1036,2
1037,6
1038,1
1039,4
1040,7
1041,2
1042,5
1043,9
1044,1
1045,5
1046,2
1047,2
1048,0
1049,9
1050,3
1051,1
1052,6
1053,4
1054,4
1055,6
1056,6
1057,7
1058,6
1059,9
1060,6
1061,1
1062,5
1063,5
1064,7
1065,5
1066,3
1067,1
1068,6
1069,3
1070,1
1071,2
1072,4
1073,4
1074,9
1075,4
1076,1
1077,9
1078,0
1079,4
1080,5
1081,2
1082,4
1083,8
1084,4
1085,0
1086,8
1087,5
1088,4
1089,7
1090,3
1091,3
1092,1
1093,5
1094,4
1095,7
1096,6
1097,7
1098,9
1099,9
1100,0
1101,5
1102,8
1103,2
1104,0
1105,5
1106,6
1107,5
1108,6
1109,2
1110,9
1111,4
1112,1
1113,4
1114,6
1115,4
1116,6
1117,2
1118,0
1119,1
1120,3
1121,7
1122,8
1123,8
1124,3
1125,6
1126,9
1127,5
1128,0
1129,4
1130,3
1131,3
1132,4
1133,4
1134,1
1135,4
1136,3
1137,5
1138,8
1139,9
1140,0
1141,0
1142,3
1143,2
1144,9
1145,1
1146,3
1147,5
1148,7
1149,5
1150,5
1151,4
1152,3
1153,2
1154,1
1155,1
1156,5
1157,3
1158,9
1159,3
1160,2
1161,0
1162,1
1163,5
1164,5
1165,1
1166,3
1167,3
1168,9
1169,4
1170,6
1171,3
1172,4
1173,8
1174,3
1175,2
1176,0
1177,2
1178,7
1179,2
1180,3
1181,7
1182,5
1183,0
1184,4
1185,5
1186,5
1187,1
1188,6
1189,6
1190,0
1191,5
1192,2
1193,9
1194,7
1195,5
1196,4
1197,1
1198,2
1199,4
1200,2
1201,5
1202,0
1203,7
1204,8
1205,3
1206,7
1207,3
1208,4
1209,4
1210,5
1211,3
1212,7
1213,7
1214,8
1215,8
1216,6
1217,0
1218,4
1219,3
1220,9
1221,2
1222,3
1223,8
1224,1
1225,5
1226,0
1227,9
1228,5
1229,5
1230,9
1231,9
1232,1
1233,0
1234,7
1235,2
1236,1
1237,7
1238,9
1239,1
1240,9
1241,8
1242,2
1243,3
1244,3
1245,4
1246,2
1247,1
1248,4
1249,9
1250,8
1251,2
1252,7
1253,0
1254,6
1255,7
1256,3
1257,6
1258,1
1259,6
1260,2
1261,0
1262,7
1263,1
1264,9
1265,0
1266,6
1267,1
1268,9
1269,9
1270,9
1271,5
1272,7
1273,0
1274,3
1275,4
1276,5
1277,5
1278,8
1279,9
1280,6
1281,6
1282,0
1283,9
1284,3
1285,7
1286,7
1287,9
1288,1
1289,9
1290,4
1291,6
1292,3
1293,4
1294,9
1295,1
1296,5
1297,0
1298,8
1299,9
1300,0
1301,6
1302,8
1303,7
1304,8
1305,4
1306,9
1307,7
1308,8
1309,1
1310,4
1311,4
1312,9
1313,0
1314,3
1315,0
1316,5
1317,3
1318,5
1319,3
1320,9
1321,1
1322,2
1323,2
1324,2
1325,3
1326,7
1327,7
1328,7
1329,1
1330,2
1331,3
1332,7
1333,4
1334,4
1335,5
1336,4
1337,7
1338,2
1339,8
1340,8
1341,3
1342,7
1343,1
1344,5
1345,2
1346,3
1347,6
1348,8
1349,9
1350,4
1351,4
1352,7
1353,3
1354,7
1355,7
1356,4
1357,8
1358,0
1359,7
1360,7
1361,2
1362,1
1363,8
1364,0
1365,5
1366,0
1367,1
1368,7
1369,2
1370,5
1371,0
1372,2
1373,0
1374,8
1375,6
1376,2
1377,5
1378,6
1379,9
1380,9
1381,2
1382,5
1383,5
1384,3
1385,3
1386,2
1387,3
1388,4
1389,2
1390,8
1391,7
1392,2
1393,4
1394,8
1395,0
1396,8
1397,9
1398,8
1399,6
1400,7
1401,3
1402,8
1403,2
1404,0
1405,2
1406,1
1407,9
1408,3
1409,7
1410,0
1411,9
1412,2
1413,6
1414,5
1415,7
1416,7
1417,7
1418,5
1419,2
1420,7
1421,1
1422,3
1423,8
1424,7
1425,8
1426,5
1427,1
1428,7
1429,8
1430,6
1431,3
1432,7
1433,2
1434,8
1435,0
1436,1
1437,5
1438,4
1439,6
1440,5
1441,0
1442,0
1443,6
1444,4
1445,1
1446,9
1447,8
1448,1
1449,2
1450,7
1451,7
1452,8
1453,1
1454,8
1455,2
1456,8
1457,4
1458,7
1459,3
1460,9
1461,0
1462,4
1463,7
1464,9
1465,2
1466,2
1467,1
1468,3
1469,0
1470,9
1471,7
1472,9
1473,7
1474,6
1475,7
1476,7
1477,4
1478,3
1479,2
1480,8
1481,9
1482,8
1483,2
1484,4
1485,1
1486,7
1487,2
1488,2
1489,2
1490,9
1491,8
1492,9
1493,7
1494,9
1495,5
1496,2
1497,1
1498,8
1499,8
1500,9
1501,3
1502,3
1503,3
1504,7
1505,1
1506,3
1507,2
1508,3
1509,5
1510,5
1511,4
1512,3
1513,9
1514,3
1515,8
1516,2
1517,0
1518,1
1519,9
1520,7
1521,7
1522,6
1523,1
1524,7
1525,4
1526,6
1527,9
1528,7
1529,1
1530,7
1531,8
1532,1
1533,6
1534,4
1535,5
1536,0
1537,4
1538,9
1539,1
1540,3
1541,2
1542,4
1543,2
1544,4
1545,2
1546,6
1547,6
1548,7
1549,2
1550,8
1551,6
1552,9
1553,1
1554,6
1555,8
1556,8
1557,7
1558,7
1559,4
1560,8
1561,2
1562,6
1563,1
1564,9
1565,8
1566,6
1567,3
1568,5
1569,1
1570,9
1571,4
1572,8
1573,6
1574,0
1575,5
1576,7
1577,1
1578,8
1579,9
1580,1
1581,9
1582,1
1583,3
1584,6
1585,4
1586,7
1587,9
1588,4
1589,7
1590,9
1591,8
1592,2
1593,1
1594,7
1595,2
1596,8
1597,5
1598,6
1599,7
1600,6
1601,3
1602,6
1603,3
1604,7
1605,3
1606,6
1607,0
1608,0
1609,1
1610,7
1611,2
1612,7
1613,7
1614,3
1615,2
1616,1
1617,0
1618,5
1619,2
1620,9
1621,3
1622,1
1623,3
1624,0
1625,1
1626,5
1627,4
1628,2
1629,5
1630,3
1631,5
1632,6
1633,4
