i,fname,machine_id,sample,part,label,label_idx
0,normal_id_02_00000277_hist_librosa_part144.bin,2,277,144,normal,0
1,normal_id_04_00000171_hist_librosa_part089.bin,4,171,89,normal,0
2,anomaly_id_03_00000032_hist_librosa_part040.bin,3,32,40,anomaly,1
3,anomaly_id_01_00000010_hist_librosa_part092.bin,1,10,92,anomaly,1
4,anomaly_id_02_00000028_hist_librosa_part177.bin,2,28,177,anomaly,1
5,anomaly_id_02_00000016_hist_librosa_part058.bin,2,16,58,anomaly,1
6,anomaly_id_02_00000210_hist_librosa_part194.bin,2,210,194,anomaly,1
7,anomaly_id_02_00000105_hist_librosa_part086.bin,2,105,86,anomaly,1
8,anomaly_id_03_00000230_hist_librosa_part110.bin,3,230,110,anomaly,1
9,anomaly_id_03_00000014_hist_librosa_part138.bin,3,14,138,anomaly,1
10,anomaly_id_03_00000120_hist_librosa_part172.bin,3,120,172,anomaly,1
11,normal_id_01_00000075_hist_librosa_part126.bin,1,75,126,normal,0
12,anomaly_id_01_00000225_hist_librosa_part108.bin,1,225,108,anomaly,1
13,normal_id_03_00000056_hist_librosa_part086.bin,3,56,86,normal,0
14,anomaly_id_02_00000201_hist_librosa_part097.bin,2,201,97,anomaly,1
15,normal_id_01_00000158_hist_librosa_part134.bin,1,158,134,normal,0
16,anomaly_id_02_00000228_hist_librosa_part051.bin,2,228,51,anomaly,1
17,normal_id_03_00000344_hist_librosa_part155.bin,3,344,155,normal,0
18,anomaly_id_02_00000090_hist_librosa_part000.bin,2,90,0,anomaly,1
19,anomaly_id_02_00000107_hist_librosa_part145.bin,2,107,145,anomaly,1
20,anomaly_id_01_00000209_hist_librosa_part177.bin,1,209,177,anomaly,1
21,normal_id_04_00000275_hist_librosa_part073.bin,4,275,73,normal,0
22,normal_id_04_00000155_hist_librosa_part169.bin,4,155,169,normal,0
23,anomaly_id_02_00000123_hist_librosa_part193.bin,2,123,193,anomaly,1
24,normal_id_04_00000169_hist_librosa_part193.bin,4,169,193,normal,0
25,anomaly_id_03_00000217_hist_librosa_part040.bin,3,217,40,anomaly,1
26,normal_id_04_00000030_hist_librosa_part114.bin,4,30,114,normal,0
27,normal_id_01_00000193_hist_librosa_part012.bin,1,193,12,normal,0
28,anomaly_id_03_00000108_hist_librosa_part029.bin,3,108,29,anomaly,1
29,anomaly_id_01_00000096_hist_librosa_part178.bin,1,96,178,anomaly,1
30,normal_id_01_00000024_hist_librosa_part022.bin,1,24,22,normal,0
31,normal_id_02_00000041_hist_librosa_part135.bin,2,41,135,normal,0
32,anomaly_id_02_00000072_hist_librosa_part122.bin,2,72,122,anomaly,1
33,normal_id_01_00000079_hist_librosa_part170.bin,1,79,170,normal,0
34,anomaly_id_02_00000017_hist_librosa_part135.bin,2,17,135,anomaly,1
35,normal_id_01_00000245_hist_librosa_part073.bin,1,245,73,normal,0
36,anomaly_id_02_00000126_hist_librosa_part100.bin,2,126,100,anomaly,1
37,normal_id_03_00000027_hist_librosa_part064.bin,3,27,64,normal,0
38,normal_id_02_00000129_hist_librosa_part097.bin,2,129,97,normal,0
39,normal_id_03_00000034_hist_librosa_part021.bin,3,34,21,normal,0
40,anomaly_id_03_00000152_hist_librosa_part187.bin,3,152,187,anomaly,1
41,anomaly_id_03_00000131_hist_librosa_part152.bin,3,131,152,anomaly,1
42,normal_id_01_00000174_hist_librosa_part139.bin,1,174,139,normal,0
43,anomaly_id_03_00000123_hist_librosa_part128.bin,3,123,128,anomaly,1
44,anomaly_id_01_00000171_hist_librosa_part034.bin,1,171,34,anomaly,1
45,normal_id_04_00000283_hist_librosa_part152.bin,4,283,152,normal,0
46,normal_id_03_00000100_hist_librosa_part169.bin,3,100,169,normal,0
47,normal_id_04_00000287_hist_librosa_part127.bin,4,287,127,normal,0
